d13C,d18O,foram_species,depth_mcd,age_ka
0.62,3.73,CWUE,30.494100,916.32700
0.55,3.53,CWUE,30.494100,916.32700
0.52,3.65,CWUE,30.495200,916.36600
0.49,3.91,CWUE,30.602500,920.42500
-0.10,3.93,CWUE,30.602500,920.42500
0.60,3.69,CWUE,30.608100,920.63400
0.11,4.15,CWUE,30.656600,922.46900
-0.16,4.11,CWUE,30.710800,924.51800
-0.18,4.45,CWUE,30.721000,924.90200
0.13,4.22,CWUE,30.879000,929.76800
0.32,4.09,CWUE,30.879000,929.76800
0.56,4.10,CWUE,30.935500,931.41700
0.09,4.07,CWUE,30.991900,933.06500
0.54,3.54,CWUE,31.048400,934.71400
0.81,3.83,CWUE,31.048400,934.71400
-0.03,4.07,CWUE,31.104800,936.36300
-0.17,3.82,CWUE,31.208400,939.38700
0.81,3.60,CWUE,31.305700,942.22900
0.86,3.59,CWUE,31.354400,943.65100
0.80,3.65,CWUE,31.403100,945.07200
0.70,3.60,CWUE,31.451700,946.49300
0.83,3.59,CWUE,31.500400,947.91400
0.75,3.35,CWUE,31.549100,949.33600
0.69,3.08,NUMB,31.597700,950.75700
1.09,3.17,CWUE,31.646400,952.17800
1.31,4.18,CWUE,31.695100,953.59900
1.08,3.12,CWUE,31.743700,955.02100
1.05,3.18,CWUE,31.743700,955.02100
1.02,3.11,CWUE,31.792400,956.44200
-0.21,4.49,CWUE,31.792400,956.44200
0.82,3.30,CKULL,31.792400,956.44200
0.77,2.86,CWUE,31.841100,957.86300
0.56,2.76,CWUE,31.888300,959.41700
0.15,3.85,CWUE,31.888300,959.41700
0.66,2.76,CWUE,31.930000,961.50000
0.07,4.29,CWUE,31.971700,963.58300
0.18,3.32,CWUE,32.013300,965.66700
-0.09,3.92,CWUE,32.055000,967.75000
0.08,3.82,CWUE,32.096700,969.37000
-0.02,4.37,CWUE,32.139000,970.31100
0.86,4.07,CWUE,32.139000,970.31100
0.95,3.91,CWUE,32.184000,971.31100
0.88,4.29,CWUE,32.229000,972.31100
0.80,4.14,CWUE,32.319000,974.31100
0.89,3.97,CWUE,32.364000,975.31100
0.92,3.98,CWUE,32.364000,975.31100
0.75,4.06,CWUE,32.409000,976.31100
1.19,3.57,CWUE,32.454000,977.31100
1.11,3.46,CWUE,32.499000,978.31100
0.37,3.69,CWUE,32.544000,979.70000
1.10,3.48,CWUE,32.584800,981.74000
0.82,3.56,CWUE,32.584800,981.74000
0.56,3.52,CWUE,32.608800,982.94000
0.94,4.00,CWUE,32.656800,985.34000
0.93,4.18,CWUE,32.710900,988.04400
0.64,3.94,CWUE,32.765300,990.11100
0.90,3.98,CWUE,32.819800,991.82200
0.76,3.90,CWUE,32.874200,993.53300
